profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
1341,0.0,0.11855088696121385,0.51555,0.15466499999999997,Normal,Normal,0.48445,LOW
1342,0.975,0.0878792492276082,0.7341875,0.9027562499999999,Restart Task,Restart Task,0.759188,MEDIUM
1343,0.0,0.1346407984824874,0.31972500000000004,0.0959175,Normal,Normal,0.680275,MEDIUM
1344,0.0,0.1320271777140143,0.3576125,0.10728375,Normal,Normal,0.642388,MEDIUM
1345,0.0,0.08073808140183747,0.7664375,0.22993124999999998,Normal,Normal,0.233563,LOW
1346,1.0,0.03124211074125849,0.917475,0.9752425,Restart Task,Restart Task,0.917475,HIGH
1347,1.0,0.11490054718641202,0.5513,0.86539,Restart Task,Restart Task,0.5513,MEDIUM
1348,1.0,0.0604820876755609,0.8457875,0.95373625,Restart Task,Restart Task,0.845788,HIGH
1349,1.0,0.09678453591887093,0.6866625,0.90599875,Restart Task,Restart Task,0.686662,MEDIUM
1350,0.0,0.07295695593530727,0.7978875,0.23936624999999997,Normal,Normal,0.202113,LOW
1351,0.005,0.11194609549196538,0.5775874999999999,0.17677624999999997,Normal,Normal,0.427413,LOW
1352,0.005,-0.03805790309805257,0.9692875,0.29428624999999997,Normal,Normal,0.035713,LOW
1353,0.995,0.0644228348419364,0.8316125,0.94598375,Restart Task,Restart Task,0.836612,HIGH
1354,0.0,0.14783857017419294,0.09573750000000003,0.028721250000000007,Normal,Normal,0.904262,HIGH
1355,1.0,0.11850798524634265,0.5160125,0.85480375,Restart Task,Restart Task,0.516012,LOW
1356,0.0,0.0755700424415694,0.7877125,0.23631375,Normal,Normal,0.212287,LOW
1357,0.005,0.13790233375113464,0.2676375,0.08379125,Normal,Normal,0.737363,MEDIUM
1358,0.005,0.07814753483406522,0.7773875,0.23671625,Normal,Normal,0.227612,LOW
1359,0.015,0.09394684229802003,0.7027,0.22131,Normal,Normal,0.3123,LOW
1360,0.86,0.0549861981424275,0.8625,0.8607499999999999,Restart Task,Restart Task,0.9975,HIGH
1361,0.94,0.06332933055460915,0.8355875,0.9086762499999999,Restart Task,Restart Task,0.895588,HIGH
1362,0.0,0.10455251723240805,0.634925,0.1904775,Normal,Normal,0.365075,LOW
1363,0.0,0.11818446123167575,0.5195125,0.15585375,Normal,Normal,0.480487,LOW
1364,0.0,0.0697520823493637,0.8115875,0.24347625,Normal,Normal,0.188412,LOW
1365,0.085,0.1339303201318524,0.3298,0.15843999999999997,Normal,Normal,0.7552,MEDIUM
1366,0.0,0.10263017769794175,0.6476625,0.19429875,Normal,Normal,0.352337,LOW
1367,0.0,0.1387429581368851,0.25315,0.075945,Normal,Normal,0.74685,MEDIUM
1368,0.0,0.10399693912464131,0.6384125,0.19152375000000002,Normal,Normal,0.361587,LOW
1369,0.0,0.10498719050312094,0.631775,0.1895325,Normal,Normal,0.368225,LOW
1370,0.965,0.12483970982344156,0.44745,0.809735,Restart Task,Restart Task,0.48245,LOW
1371,0.0,0.06483364362786492,0.8300375,0.24901125,Normal,Normal,0.169963,LOW
1372,0.995,0.1122691239853214,0.5746125,0.86888375,Restart Task,Restart Task,0.579612,MEDIUM
1373,0.0,0.1321027776286442,0.35643749999999996,0.10693124999999999,Normal,Normal,0.643563,MEDIUM
1374,0.0,0.05979230303914157,0.8480375,0.25441125,Normal,Normal,0.151963,LOW
1375,0.0,0.09663780517631237,0.6874750000000001,0.20624250000000002,Normal,Normal,0.312525,LOW
