component,mean,median,p50,p95,p99,min,max,std
preprocessing_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_ms,46.71253333344794,48.12305000041306,48.12305000041306,49.22540000052322,49.437800000760035,39.00699999940116,49.49090000081924,3.516085442366481
isolation_forest_ms,11.18490000029245,12.087800000244897,12.087800000244897,12.454550000484232,12.524830000666043,6.8349000002854154,12.542400000711496,1.9772033793560555
calibration_ms,0.17759999991540099,0.19330000031914096,0.19330000031914096,0.2139999999144493,0.21831999988535244,0.07229999937408138,0.21939999987807823,0.04811191836875202
risk_ms,0.17945000005662828,0.19460000021354062,0.19460000021354062,0.2189000001635577,0.22514000002047396,0.077699999565084,0.22669999998470303,0.047203487013647134
decision_ms,0.1532500000394066,0.17350000007354538,0.17350000007354538,0.19325000016578997,0.1947300003394048,0.02210000002378365,0.1951000003828085,0.05939499839027187
rca_ms,14822.818716666612,0.0,0.0,66702.68422499976,84490.0666849997,0.0,88936.91229999968,33144.83026862274
forecast_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_ms,14881.229766666822,60.924899999918125,60.924899999918125,66752.84440000041,84536.91272000043,59.90830000064307,88982.92980000042,33139.28771610003
